channel_name,texts,vertex_type
alexandrskurchaev,alexandrskurchaev.yaml,channel
epanchintsev,epanchintsev.yaml,channel
vladivostok1978,vladivostok1978.yaml,channel
kalmykia08,kalmykia08.yaml,channel
msutstankin,msutstankin.yaml,channel
kremlebezbashennik,kremlebezbashennik.yaml,channel
priority_2030,priority_2030.yaml,channel
vysokygovorit,vysokygovorit.yaml,channel
essiroble,essiroble.yaml,channel
individuumbooks,individuumbooks.yaml,channel
genshab,genshab.yaml,channel
sotavision,sotavision.yaml,channel
exp_fdn,exp_fdn.yaml,channel
mensurata,mensurata.yaml,channel
maester,maester.yaml,channel
icismephi,icismephi.yaml,channel
bstu_bgd,bstu_bgd.yaml,channel
vityzeva,vityzeva.yaml,channel
rudalle_emojich_bot,rudalle_emojich_bot.yaml,channel
markettwits,markettwits.yaml,channel
chesnokmedia,chesnokmedia.yaml,channel
lyandpy,lyandpy.yaml,channel
pogonygalstuky,pogonygalstuky.yaml,channel
esgtransformation,esgtransformation.yaml,channel
satirkka,satirkka.yaml,channel
mospolywork,mospolywork.yaml,channel
genprocrf,genprocrf.yaml,channel
gossluga,gossluga.yaml,channel
ivoryzoo,ivoryzoo.yaml,channel
povestkatoday,povestkatoday.yaml,channel
tgmayak,tgmayak.yaml,channel
echomskonline,echomskonline.yaml,channel
sil0viki,sil0viki.yaml,channel
mahchzo,mahchzo.yaml,channel
vinogradov74,vinogradov74.yaml,channel
nikitaizyumov2020,nikitaizyumov2020.yaml,channel
nakanuneru,nakanuneru.yaml,channel
hinshtein,hinshtein.yaml,channel
theinsider,theinsider.yaml,channel
korifeyhab,korifeyhab.yaml,channel
slatinov,slatinov.yaml,channel
stormdaily,stormdaily.yaml,channel
redacted6,redacted6.yaml,channel
dtoperativno,dtoperativno.yaml,channel
pozoviteprofessora,pozoviteprofessora.yaml,channel
karaulny_accountant,karaulny_accountant.yaml,channel
kilinkarovspiridon,kilinkarovspiridon.yaml,channel
evgenyprimakov,evgenyprimakov.yaml,channel
stranaimir,stranaimir.yaml,channel
shot_shot,shot_shot.yaml,channel
zapashnyru,zapashnyru.yaml,channel
zhirinovskylive,zhirinovskylive.yaml,channel
zvezdanews,zvezdanews.yaml,channel
leningrad_guide,leningrad_guide.yaml,channel
sputniklive,sputniklive.yaml,channel
lentadnya,lentadnya.yaml,channel
vivodynachistotu,vivodynachistotu.yaml,channel
d_code,d_code.yaml,channel
derplearning,derplearning.yaml,channel
slutsky_l,slutsky_l.yaml,channel
alexey_pushkov,alexey_pushkov.yaml,channel
radioskaner,radioskaner.yaml,channel
politadequate,politadequate.yaml,channel
buddykiton,buddykiton.yaml,channel
krskstate,krskstate.yaml,channel
dmitriysteshin,dmitriysteshin.yaml,channel
urallive,urallive.yaml,channel
stolitsarassveta,stolitsarassveta.yaml,channel
newsv1,newsv1.yaml,channel
proimport,proimport.yaml,channel
alperina,alperina.yaml,channel
zheltyeslivy,zheltyeslivy.yaml,channel
match_tv,match_tv.yaml,channel
thinktankru,thinktankru.yaml,channel
sputnikarmenia,sputnikarmenia.yaml,channel
imerelgia,imerelgia.yaml,channel
mariabutina,mariabutina.yaml,channel
radiostydoba,radiostydoba.yaml,channel
studsovetmsu,studsovetmsu.yaml,channel
hsestudlife,hsestudlife.yaml,channel
hse_library,hse_library.yaml,channel
def_model_train,def_model_train.yaml,channel
cheltodayru,cheltodayru.yaml,channel
denissexy,denissexy.yaml,channel
tsunews,tsunews.yaml,channel
spb_razborka,spb_razborka.yaml,channel
the_kyva,the_kyva.yaml,channel
zubovskiy4,zubovskiy4.yaml,channel
politjoystic_opros,politjoystic_opros.yaml,channel
fcpeshka,fcpeshka.yaml,channel
trrrum,trrrum.yaml,channel
youlistenedmayak,youlistenedmayak.yaml,channel
kinoprotebya,kinoprotebya.yaml,channel
volga_live,volga_live.yaml,channel
doninside,doninside.yaml,channel
glavmedia,glavmedia.yaml,channel
dagranovsky,dagranovsky.yaml,channel
mrakoban,mrakoban.yaml,channel
korrzak,korrzak.yaml,channel
davydovin,davydovin.yaml,channel
zimamagazine,zimamagazine.yaml,channel
nailyaaskerzade,nailyaaskerzade.yaml,channel
sibirlive,sibirlive.yaml,channel
pressmia,pressmia.yaml,channel
economizm,economizm.yaml,channel
gorgadze_shota,gorgadze_shota.yaml,channel
wciomofficial,wciomofficial.yaml,channel
truekpru,truekpru.yaml,channel
kinotvnews,kinotvnews.yaml,channel
neuroesthetica,neuroesthetica.yaml,channel
obuchenie_pro,obuchenie_pro.yaml,channel
shpakouski,shpakouski.yaml,channel
mediakailo,mediakailo.yaml,channel
socio_news,socio_news.yaml,channel
yuglive,yuglive.yaml,channel
versiaru,versiaru.yaml,channel
headlinesua,headlinesua.yaml,channel
hse_workers,hse_workers.yaml,channel
rectorsofrussia,rectorsofrussia.yaml,channel
ssc_volgmed_impulse,ssc_volgmed_impulse.yaml,channel
skabeeva,skabeeva.yaml,channel
smolyak,smolyak.yaml,channel
sportrumours,sportrumours.yaml,channel
nabludatels,nabludatels.yaml,channel
ranshevcex,ranshevcex.yaml,channel
insciencenews,insciencenews.yaml,channel
znakcom,znakcom.yaml,channel
vladimirlegoyda,vladimirlegoyda.yaml,channel
minstroyrf,minstroyrf.yaml,channel
minec_russia,minec_russia.yaml,channel
asupersharij,asupersharij.yaml,channel
delyagin,delyagin.yaml,channel
mislinemisli,mislinemisli.yaml,channel
ru_education,ru_education.yaml,channel
spbgovno,spbgovno.yaml,channel
itsalwayssunnyinmoscow,itsalwayssunnyinmoscow.yaml,channel
karaulny,karaulny.yaml,channel
fuckyouthatswhy,fuckyouthatswhy.yaml,channel
yamal_reg,yamal_reg.yaml,channel
rtrdonetsk,rtrdonetsk.yaml,channel
minsknews_by,minsknews_by.yaml,channel
nerzhavey,nerzhavey.yaml,channel
govinfo,govinfo.yaml,channel
sakhgov,sakhgov.yaml,channel
savanichi,savanichi.yaml,channel
rkadyrov_95,rkadyrov_95.yaml,channel
opri4nic,opri4nic.yaml,channel
kshulika,kshulika.yaml,channel
fiztehjoke,fiztehjoke.yaml,channel
molod_chel,molod_chel.yaml,channel
ugi_urfu,ugi_urfu.yaml,channel
asgasparyan,asgasparyan.yaml,channel
stopcoronavirusrussia,stopcoronavirusrussia.yaml,channel
diplosource,diplosource.yaml,channel
zabar1986,zabar1986.yaml,channel
molpolgd,molpolgd.yaml,channel
rakshademography,rakshademography.yaml,channel
golosmordora,golosmordora.yaml,channel
imerkouri,imerkouri.yaml,channel
